10	18	8	5	15	8	13	17	17	10	14	9	17	16	30	22	13	7	14	12	17	13	18	13	2	9	7	9	5	11	6
9	9	10	6	6	7	6	7	7	6	2	8	6	10	5	7	4	5	6	6	8	2	6	5	6	5	7	5	8	7	6
6	6	9	11	6	4	9	5	6	7	3	7	8	10	4	5	3	7	3	5	12	6	6	6	4	6	10	6	8	5	1
34	22	24	17	10	20	33	19	24	19	13	16	19	41	13	19	11	19	23	15	21	19	17	14	6	12	13	14	15	11	11
4	3	1	8	4	2	4	6	6	2	4	1	4	10	2	0	3	0	4	1	2	3	2	2	1	3	0	2	0	3	5
0	1	0	1	0	0	3	5	0	0	0	2	0	0	4	0	1	3	0	0	0	0	0	3	0	2	1	0	1	0	1
0	0	1	0	2	1	1	1	1	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	1	1	0	0
21	21	19	12	14	16	17	10	12	14	9	17	11	3	16	18	9	11	10	17	18	17	20	10	13	11	20	13	19	22	19
24	26	16	18	13	13	18	15	24	26	17	13	18	32	18	20	16	23	17	27	15	9	16	7	7	6	12	16	11	17	10
6	9	3	10	4	3	7	3	3	7	3	4	3	7	3	3	8	3	4	1	8	5	11	6	5	5	4	5	3	2	4
9	4	12	9	8	6	10	7	5	14	13	8	6	6	7	9	11	10	11	11	13	6	12	5	14	7	11	13	7	12	12
0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1
7	16	14	17	15	8	11	12	12	10	11	15	16	7	7	13	8	5	7	11	12	9	11	7	11	22	16	10	15	15	9
1	2	1	2	1	3	1	1	2	1	2	2	7	1	2	0	0	2	2	2	3	2	4	5	0	2	1	5	3	1	3
6	10	8	7	5	8	5	2	1	5	8	8	8	6	7	8	4	7	7	5	5	6	13	7	7	10	5	7	4	5	10
0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	3	2	2	0	4	1	1	1	2	1	3	1	1	4	2	0	3	3	1	1	2	1	2	1	2	2	0	2	1
44	58	48	43	56	46	38	49	45	48	54	54	35	37	46	47	41	57	48	48	63	33	47	66	58	43	40	47	39	42	50
2	4	0	1	1	1	0	1	1	4	3	0	3	1	0	0	0	2	2	1	0	2	3	1	3	1	0	1	1	3	5
